GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS830393926	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-13	11:22:00	obsr754353	S61639498	Traveling	P22	EBIRD	113	2.283		15	1	G4685471	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS830291832	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-13	11:22:00	obsr150352	S61631714	Traveling	P22	EBIRD	113	2.283		15	1	G4685471	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS832355728	2023-03-18 17:38:16.971431	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				2					Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Embalse El Yeso--Vegas superiores	L594542	H	-33.6250545	-70.0251281	2019-11-25	13:12:00	obsr1128773	S61789743	Traveling	P22	EBIRD_CL	45	0.800		2	1	G4700670	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS824723752	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-05	13:00:00	obsr228178	S61208739	Traveling	P22	EBIRD	60	2.000		3	1	G4643920	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS832006604	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-13	11:22:00	obsr996583	S61761853	Traveling	P22	EBIRD	113	2.283		15	1	G4685471	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS830291812	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-13	11:22:00	obsr1012548	S61631713	Traveling	P22	EBIRD	113	2.283		15	1	G4685471	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS870434663	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-13	11:22:00	obsr793395	S65059687	Traveling	P22	EBIRD	113	2.283		15	1	G4685471	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS824130640	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4					Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-03	10:00:00	obsr507929	S61164454	Traveling	P22	EBIRD	45	1.000		3	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS830332117	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-13	11:22:00	obsr6572	S61634920	Traveling	P22	EBIRD	113	2.283		15	1	G4685471	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS826908813	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				1					Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-07	09:00:00	obsr192381	S61368651	Traveling	P22	EBIRD	150	6.000		4	1	G4661023	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS826898946	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4				Female, Adult (1); Male, Adult (1); Unknown Sex, Juvenile (2)	Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-06	16:30:00	obsr600680	S61367867	Traveling	P22	EBIRD	120	4.000		4	1	G4660670	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS825044616	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				3					Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-06	12:05:00	obsr160240	S61232891	Traveling	P22	EBIRD	180	4.000		6	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1046896675	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-13	11:22:00	obsr1505024	S78867645	Traveling	P22	EBIRD	113	2.283		15	1	G4685471	1	1	0				
